fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob,seed
2,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
2,TEST,0.44,0.3,0.25,0.6153846153846154,0.3922322702763681,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
3,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
4,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
4,TEST,0.52,0.6470588235294118,0.9166666666666666,0.15384615384615385,0.3755338080994054,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
5,VALIDATION,0.65,0.72,0.9,0.4,0.6000000000000001,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
5,TEST,0.56,0.6666666666666666,1.0,0.21428571428571427,0.4629100498862757,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
MEAN,VALIDATION,0.6599999999999999,0.671843137254902,0.7577777777777778,0.5709090909090909,0.6412835004938553,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
MEAN,TEST,0.512,0.527967832294208,0.6666666666666666,0.38131868131868135,0.43799132509234423,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
1,VALIDATION,0.8,0.7777777777777778,0.7777777777777778,0.8181818181818182,0.7977240352174657,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
1,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
2,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
2,TEST,0.48,0.3157894736842105,0.25,0.6923076923076923,0.41602514716892186,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
3,VALIDATION,0.7,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6963106238227914,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
3,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
4,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
5,VALIDATION,0.7,0.75,0.9,0.5,0.6708203932499369,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
5,TEST,0.72,0.7586206896551724,1.0,0.5,0.7071067811865476,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
MEAN,VALIDATION,0.72,0.7063811489508083,0.7355555555555555,0.7,0.710948589089024,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
MEAN,TEST,0.592,0.5821464004839685,0.6666666666666667,0.5307692307692308,0.571835794403803,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,123
1,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
1,TEST,0.6,0.5454545454545454,0.5,0.6923076923076923,0.5883484054145521,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
2,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
2,TEST,0.64,0.6086956521739131,0.5833333333333334,0.6923076923076923,0.6354889093022426,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
3,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
3,TEST,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
4,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
4,TEST,0.52,0.6,0.75,0.3076923076923077,0.4803844614152614,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
5,TEST,0.6,0.6428571428571429,0.8181818181818182,0.42857142857142855,0.592156525463792,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
MEAN,VALIDATION,0.7100000000000001,0.6983333333333334,0.74,0.6836363636363637,0.7066714251748589,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,777
