fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
2,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.64,0.7272727272727273,1.0,0.3076923076923077,0.5547001962252291,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.7,0.625,0.5,0.9,0.6708203932499369,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.68,0.5,0.36363636363636365,0.9285714285714286,0.5810872031479765,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.6200000000000001,0.6464756258234519,0.7666666666666666,0.5072727272727272,0.6002803553035,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.5760000000000001,0.611908840941099,0.7560606060606061,0.4010989010989011,0.4322063209155619,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
1,TEST,0.44,0.5625,0.75,0.15384615384615385,0.3396831102433787,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
2,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
2,TEST,0.6,0.6875,0.9166666666666666,0.3076923076923077,0.5310850045437944,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
3,VALIDATION,0.55,0.6666666666666666,1.0,0.18181818181818182,0.4264014327112209,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
3,TEST,0.6,0.6875,0.9166666666666666,0.3076923076923077,0.5310850045437944,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
4,VALIDATION,0.6,0.6923076923076923,1.0,0.2727272727272727,0.5222329678670935,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
4,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
5,VALIDATION,0.6,0.6666666666666666,0.8,0.4,0.5656854249492381,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
5,TEST,0.64,0.7096774193548387,1.0,0.35714285714285715,0.5976143046671968,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
MEAN,VALIDATION,0.58,0.660200668896321,0.8933333333333333,0.3163636363636364,0.5229342185241649,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
MEAN,TEST,0.552,0.6591652136006975,0.9166666666666666,0.22527472527472528,0.3998934847996328,32,0.001,resize_mini_hu_m300_1400_separadas,0,0.4
