fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
MEAN,TEST,0.5760000000000001,0.6479843304843305,0.8333333333333333,0.34725274725274724,0.4679167121984557,8,0.001,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.55,0.4,0.3333333333333333,0.7272727272727273,0.49236596391733095,16,1e-05,resize_smaller_hu_m300_1400_separadas
1,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,16,1e-05,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.6,0.42857142857142855,0.3333333333333333,0.8181818181818182,0.5222329678670935,16,1e-05,resize_smaller_hu_m300_1400_separadas
2,TEST,0.48,0.0,0.0,0.9230769230769231,0.0,16,1e-05,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,1e-05,resize_smaller_hu_m300_1400_separadas
3,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,1e-05,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.5,0.5454545454545454,0.6666666666666666,0.36363636363636365,0.49236596391733095,16,1e-05,resize_smaller_hu_m300_1400_separadas
4,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,16,1e-05,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.55,0.18181818181818182,0.1,1.0,0.31622776601683794,16,1e-05,resize_smaller_hu_m300_1400_separadas
5,TEST,0.56,0.0,0.0,1.0,0.0,16,1e-05,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.5299999999999999,0.4353067622033139,0.48666666666666664,0.5818181818181818,0.3646385323437187,16,1e-05,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.504,0.31668625146886015,0.38333333333333336,0.6,0.19850799767568836,16,1e-05,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,resize_smaller_hu_m300_1400_separadas
