fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,seed,preprocessed_dir,weight_decay,dropout_prob
3,TEST,0.68,0.6923076923076923,0.75,0.6153846153846154,0.6793662204867574,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.72,0.6666666666666666,0.6363636363636364,0.7857142857142857,0.7071067811865476,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.6699999999999999,0.6576030870013908,0.6955555555555554,0.6472727272727272,0.6615491463888551,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.656,0.6474070656979202,0.6772727272727272,0.634065934065934,0.6481426182662667,4,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.75,0.6153846153846154,0.4444444444444444,1.0,0.6666666666666666,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.55,0.5263157894736842,0.5555555555555556,0.5454545454545454,0.5504818825631803,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.64,0.6086956521739131,0.5833333333333334,0.6923076923076923,0.6354889093022426,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.7,0.7692307692307693,1.0,0.4,0.6324555320336759,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.8,0.8,0.9090909090909091,0.7142857142857143,0.8058229640253803,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.64,0.6372586985859297,0.7111111111111111,0.5709090909090909,0.6065518104041525,16,0.001,777,resize_mini_hu_m300_1400_separadas,0,0.3
